,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,HOU,DET,GSW,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
ATL,,109.6,110.475,125.575,121.85,111.4125,139.0,124.1,127.35,126.55,117.6,118.1,132.45,117.30000000000001,116.05000000000001,113.425,121.05,132.7,122.65,120.875,124.95,113.2125,125.69999999999999,126.05,107.6,108.55000000000001,115.35,122.2625,121.85,108.97500000000001
BOS,118.65,,137.0125,110.9,133.625,117.625,129.85000000000002,115.65,124.1,128.27499999999998,129.45,128.74375,125.25,119.45,122.45,129.175,121.025,111.6,121.1,136.0125,127.0,114.85,121.25,128.75,133.8,152.2,127.65,112.53750000000001,126.55000000000001,128.375
BRK,123.9375,104.475,,119.52499999999999,123.25,119.3125,113.9,112.5,103.0,117.9,112.65,100.9,109.25,129.6,117.9,105.5625,118.44999999999999,95.65,97.6,105.075,118.0,111.05000000000001,120.4,123.80000000000001,119.45,118.9,118.55000000000001,104.75,126.05000000000001,112.625
CHO,110.35,113.7,122.775,,112.5875,,114.0,97.5,109.25,99.85,87.0,112.92500000000001,105.9,108.65,116.45,101.8375,99.275,126.85,115.5,103.05,104.8,101.65,107.25,116.15,101.5,108.9,112.15,112.1875,120.85,109.9125
CHI,129.35,116.2,117.2,121.3125,,110.3625,105.69999999999999,111.05000000000001,114.15,110.4,128.65,114.85,116.7,126.0,128.1,123.6125,108.875,123.8,123.5,106.4,109.19999999999999,107.35,104.57499999999999,114.55,113.15,115.55000000000001,123.475,111.175,129.9,129.2
CLE,114.7375,113.94999999999999,116.125,,111.4,,120.0,130.1,117.05,118.55000000000001,115.3,115.07499999999999,121.8,108.8,109.8,102.275,114.5875,105.5,117.55,104.17500000000001,108.94999999999999,122.9375,111.475,120.1,108.4,133.89999999999998,118.1,121.275,127.0,118.1875
DAL,143.8,111.05,122.5,119.8,129.15,117.4,,114.42500000000001,107.75,129.0,123.19999999999999,113.65,121.1,115.19999999999999,112.07499999999999,119.8,116.8,103.8875,124.775,129.75,124.525,124.2,122.35,124.4,125.0625,117.3,115.0375,119.15,113.8,113.55000000000001
DEN,131.2,119.9,126.65,110.5,127.0,117.2,123.075,,116.2625,122.5,126.875,119.85,113.89999999999999,128.075,124.85,110.85,106.6,105.30000000000001,124.175,109.05,109.7125,123.85,126.6,113.6,124.95,111.525,123.0,124.30000000000001,127.9,117.1
HOU,119.4,104.6,107.75,130.14999999999998,116.9,121.75,116.8,120.5375,,125.25,113.85,125.0,113.8,116.1125,112.63749999999999,117.6,117.95,91.65,104.4625,107.55,101.275,91.8,124.6,110.36250000000001,128.25,118.7,111.8,118.55,133.14999999999998,134.7
DET,120.6,106.25,116.625,113.15,117.27499999999999,109.35,112.6,111.7,112.80000000000001,,111.7,106.975,115.15,104.35,101.1,107.1125,113.6375,117.5,111.45,114.85,117.85,101.2375,99.45,100.45,110.95,120.19999999999999,108.6,110.30000000000001,122.45,109.825
