,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,HOU,DET,GSW,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
ATL,,100.25,95.80000000000001,94.9,98.05,96.9,102.9,98.3,100.85,101.1,101.8,102.075,95.5,103.30000000000001,93.75,97.05000000000001,102.45,95.7,92.19999999999999,96.45,103.2,95.8125,98.44999999999999,96.75,94.8,100.0,106.5,101.1625,100.95,105.63749999999999
BOS,100.25,,93.7,96.3,93.80000000000001,94.3,99.1,90.65,105.1,96.05000000000001,98.0,99.95625,96.4,96.7,94.85,93.425,96.3,96.1,97.4,87.7,96.8,98.32499999999999,96.8125,94.85,90.4,94.6,98.25,98.42500000000001,99.05000000000001,101.225
BRK,95.80000000000001,93.7,,95.80000000000001,92.19999999999999,93.025,99.55,97.19999999999999,100.5,99.25,96.7,99.1,97.85,100.3,90.35,93.775,97.57499999999999,94.55,90.15,93.07499999999999,98.35,94.3,95.1,95.35,91.2,99.3,96.15,99.25,100.85,96.375
CHO,94.9,96.3,95.80000000000001,,92.575,,103.5,96.35,102.15,100.075,96.6,97.3875,98.2,105.9,96.6,95.2,94.4375,96.55,94.95,92.76249999999999,101.1,95.60000000000001,92.65,92.8,91.6,95.85,99.95,97.7875,98.0,99.25
CHI,98.05,93.80000000000001,92.19999999999999,92.575,,94.4375,93.25,93.25,100.45,92.975,99.65,99.125,91.35,101.55,94.85,92.325,96.3,94.4,96.55,94.0,94.44999999999999,90.35,97.65,94.85,94.55000000000001,99.0,97.05,97.0125,95.8,98.3
CLE,96.9,94.3,93.025,,94.4375,,97.55000000000001,93.0,96.4,96.4,101.1,96.7,96.8,105.7,98.4,91.8125,101.075,91.55000000000001,93.6,91.925,103.4,91.8625,95.525,92.5,94.05,95.5,99.05000000000001,95.8,97.6,99.3
DAL,102.9,99.1,99.55,103.5,93.25,97.55000000000001,,94.4,101.55000000000001,110.1,97.69999999999999,101.69999999999999,93.475,97.925,96.9625,95.2,103.6,94.7375,96.4375,96.35,101.1,100.0,95.6,97.125,106.3,97.2,103.575,105.6,101.95,107.0
DEN,98.3,90.65,97.19999999999999,96.35,93.25,93.0,94.4,,95.0875,97.1,95.0625,96.4,94.0,93.92500000000001,100.44999999999999,91.7,97.5,97.1,99.475,90.3,94.7875,96.65,91.6,94.9,94.4125,99.45,101.15,95.65,98.6,103.65
HOU,100.85,105.1,100.5,102.15,100.45,96.4,101.55000000000001,95.0875,,98.85,92.75,98.45,95.25,103.7,98.325,96.0,97.94999999999999,100.9,99.23750000000001,92.6,101.25,93.7,97.15,102.9125,94.2,95.675,94.4375,100.44999999999999,98.4,101.15
DET,101.1,96.05000000000001,99.25,100.075,92.975,96.4,110.1,97.1,98.85,,97.65,102.625,100.5,104.45,100.9,94.13749999999999,104.925,99.6,97.35,97.05,98.65,95.55,100.975,103.05000000000001,98.45,101.3,99.5,106.3,99.94999999999999,101.225
GSW,101.8,98.0,96.7,96.6,99.65,101.1,97.69999999999999,95.0625,92.75,97.65,,101.25,98.75,99.725,97.675,95.6,99.05000000000001,98.775,98.5,95.25,100.3125,96.2,98.55,102.6875,96.17500000000001,100.6625,100.92500000000001,100.25,103.75,103.9
IND,102.075,99.95625,99.1,97.3875,99.125,96.7,101.69999999999999,96.4,98.45,102.625,101.25,,101.5,107.7,96.0,103.65,106.14375,97.44999999999999,99.7,98.375,101.7,99.325,106.025,102.5,102.80000000000001,104.4,100.35,103.44999999999999,101.3,105.02499999999999
LAC,95.5,96.4,97.85,98.2,91.35,96.8,93.475,94.0,95.25,100.5,98.75,101.5,,97.6,96.0,92.5,97.1,90.6125,94.30000000000001,96.85,97.45,103.2,88.9,93.75,96.55,96.1,101.375,97.25,96.35,100.8
LAL,103.30000000000001,96.7,100.3,105.9,101.55,105.7,97.925,93.92500000000001,103.7,104.45,99.725,107.7,97.6,,100.1,99.8,98.2,100.025,100.075,96.65,97.35,98.8,95.35,98.26875,97.975,99.2,102.65,105.3,102.9,101.3
MEM,93.75,94.85,90.35,96.6,94.85,98.4,96.9625,100.44999999999999,98.325,100.9,97.675,96.0,96.0,100.1,,97.4,98.7,95.30000000000001,97.05,95.25,98.75,95.3,99.2,100.875,97.3125,96.875,100.175,96.8,98.17500000000001,98.9
MIA,97.05000000000001,93.425,93.775,95.2,92.325,91.8125,95.2,91.7,96.0,94.13749999999999,95.6,103.65,92.5,99.8,97.4,,100.1,95.80000000000001,91.6,94.85,96.44999999999999,92.9375,97.35,94.8,91.6,94.95,99.25,94.0,97.95,98.875
MIL,102.45,96.3,97.57499999999999,94.4375,96.3,101.075,103.6,97.5,97.94999999999999,104.925,99.05000000000001,106.14375,97.1,98.2,98.7,100.1,,92.8,104.0,100.35,97.7,99.75,93.7,99.65,98.5,100.45,105.75,95.44999999999999,97.65,102.3
MIN,95.7,96.1,94.55,96.55,94.4,91.55000000000001,94.7375,97.1,100.9,99.6,98.775,97.44999999999999,90.6125,100.025,95.30000000000001,95.80000000000001,92.8,,95.375,96.1,93.475,98.0,98.85,91.5,95.9375,94.85,98.7125,102.0,92.9625,102.2
NOP,92.19999999999999,97.4,90.15,94.95,96.55,93.6,96.4375,99.475,99.23750000000001,97.35,98.5,99.7,94.30000000000001,100.075,97.05,91.6,104.0,95.375,,94.0,100.3,99.0,94.45,101.9,91.35,95.8,100.475,98.85,101.15,102.85
NYK,96.45,87.7,93.07499999999999,92.76249999999999,94.0,91.925,96.35,90.3,92.6,97.05,95.25,98.375,96.85,96.65,95.25,94.85,100.35,96.1,94.0,,99.5,86.9875,88.4625,92.35,93.69999999999999,94.4,96.2,97.875,95.25,99.75
OKC,103.2,96.8,98.35,101.1,94.44999999999999,103.4,101.1,94.7875,101.25,98.65,100.3125,101.7,97.45,97.35,98.75,96.44999999999999,97.7,93.475,100.3,99.5,,98.35,94.5,96.6,99.86250000000001,101.7,100.85,95.65,99.94999999999999,104.4
ORL,95.8125,98.32499999999999,94.3,95.60000000000001,90.35,91.8625,100.0,96.65,93.7,95.55,96.2,99.325,103.2,98.8,95.3,92.9375,99.75,98.0,99.0,86.9875,98.35,,92.85,96.75,95.1,94.75,97.5,96.07499999999999,100.35,100.0375
PHI,98.44999999999999,96.8125,95.1,92.65,97.65,95.525,95.6,91.6,97.15,100.975,98.55,106.025,88.9,95.35,99.2,97.35,93.7,98.85,94.45,88.4625,94.5,92.85,,96.9,97.6,94.4,96.0,97.2,97.75,104.875
PHO,96.75,94.85,95.35,92.8,94.85,92.5,97.125,94.9,102.9125,103.05000000000001,102.6875,102.5,93.75,98.26875,100.875,94.8,99.65,91.5,101.9,92.35,96.6,96.75,96.9,,95.275,100.88749999999999,99.25,96.3,98.3375,104.15
POR,94.8,90.4,91.2,91.6,94.55000000000001,94.05,106.3,94.4125,94.2,98.45,96.17500000000001,102.80000000000001,96.55,97.975,97.3125,91.6,98.5,95.9375,91.35,93.69999999999999,99.86250000000001,95.1,97.6,95.275,,96.55,100.7,94.15,94.4,98.2
SAC,100.0,94.6,99.3,95.85,99.0,95.5,97.2,99.45,95.675,101.3,100.6625,104.4,96.1,99.2,96.875,94.95,100.45,94.85,95.8,94.4,101.7,94.75,94.4,100.88749999999999,96.55,,102.925,99.35,98.8,100.94999999999999
SAS,106.5,98.25,96.15,99.95,97.05,99.05000000000001,103.575,101.15,94.4375,99.5,100.92500000000001,100.35,101.375,102.65,100.175,99.25,105.75,98.7125,100.475,96.2,100.85,97.5,96.0,99.25,100.7,102.925,,101.7,105.0,103.19999999999999
TOR,101.1625,98.42500000000001,99.25,97.7875,97.0125,95.8,105.6,95.65,100.44999999999999,106.3,100.25,103.44999999999999,97.25,105.3,96.8,94.0,95.44999999999999,102.0,98.85,97.875,95.65,96.07499999999999,97.2,96.3,94.15,99.35,101.7,,99.15,100.425
UTA,100.95,99.05000000000001,100.85,98.0,95.8,97.6,101.95,98.6,98.4,99.94999999999999,103.75,101.3,96.35,102.9,98.17500000000001,97.95,97.65,92.9625,101.15,95.25,99.94999999999999,100.35,97.75,98.3375,94.4,98.8,105.0,99.15,,103.5
WAS,105.63749999999999,101.225,96.375,99.25,98.3,99.3,107.0,103.65,101.15,101.225,103.9,105.02499999999999,100.8,101.3,98.9,98.875,102.3,102.2,102.85,99.75,104.4,100.0375,104.875,104.15,98.2,100.94999999999999,103.19999999999999,100.425,103.5,
